,Year,STATECOUNTY,ACS_N_TOTAL_POP,ACS_N_MALE,ACS_N_FEMALE,ACS_N_RACE_TOTAL_POP,ACS_N_RACE_WHITE,ACS_N_RACE_BLACK,ACS_N_RACE_AMERIND,ACS_N_RACE_ASIAN,ACS_N_RACE_HAWPACISL,ACS_N_RACE_OTHER,ACS_N_RACE_TWOORMORE,ACS_N_ETHN_HISPLAT_Y,ACS_N_ETHN_HISPLAT_N,ACS_N_POVERTY_STAT,ACS_N_POVERTY_STAT_BELOW_100_PCT,ACS_N_POVERTY_STAT_100_TO_149_PCT,ACS_N_POVERTY_STAT_ABOVE_150_PCT,ACS_N_INSURED_NON_INST,ACS_N_INSURED_NON_INST_UNDER_19,ACS_N_INSURED_NON_INST_19_TO_64,ACS_N_INSURED_NON_INST_OVER_65,ACS_N_DISABIL_Y,ACS_N_DISABIL_N,STATE,COUNTY,ACS_MED_AGE,ACS_MED_AGE_M,ACS_MED_AGE_F,ACS_MED_INCOME_PAST_12MO,ACS_MED_INCOME
73,2018,17_49,34174,16971,17203,33501,32887,173,24,210,15,192,307,661,32444,33189,3857,2696,26636,31937,8198,18321,5418,4180,27757,17,49,39.0625,37.3,40.7125,28595.0,28595.0
74,2018,17_5,16712,8587,8125,16487,15082,1043,68,196,0,98,118,578,14598,14858,2150,1391,11317,14524,3255,8517,2752,2310,12214,17,5,44.550000000000004,44.65,45.05,28941.75,28941.75
75,2018,17_51,21724,11580,10144,21312,20070,1043,49,107,0,43,128,408,19724,19612,3469,2360,13783,18407,4558,10019,3830,3390,15017,17,51,41.98571428571428,40.785714285714285,43.65714285714286,23285.0,23285.0
76,2018,17_53,13398,6616,6782,13169,12662,147,59,64,5,232,104,427,12448,12867,2023,1103,9741,12185,3080,6945,2160,2024,10161,17,53,43.120000000000005,41.46,45.879999999999995,30124.2,30124.2
77,2018,17_55,39127,19285,19842,38410,37616,314,116,223,25,116,373,643,37219,38043,7457,4650,25936,36128,8889,19772,7467,7594,28534,17,55,42.68333333333333,40.25833333333333,44.508333333333326,23687.0,23687.0
78,2018,17_57,35418,18496,16922,34797,33172,1317,116,49,23,120,402,1043,32330,32591,5353,3338,23900,30898,7314,17076,6508,4710,26188,17,57,44.13333333333333,42.1,46.20000000000001,27212.666666666668,27212.666666666668
79,2018,17_59,5157,2472,2685,5020,4946,12,27,22,0,13,92,75,4893,5092,974,648,3470,4973,1102,2663,1208,1146,3827,17,59,45.8,43.95,47.05,27095.5,27095.5
80,2018,17_61,13218,6668,6550,12905,12643,194,40,25,0,3,138,86,12572,12636,1813,1090,9733,12105,2822,6854,2429,2094,10011,17,61,42.56,41.94,43.019999999999996,24390.6,24390.6
81,2018,17_63,50509,25241,25268,49137,46742,735,35,411,17,1197,798,4816,43189,49369,4350,2139,42880,48112,13187,28457,6468,4584,43528,17,63,39.17999999999999,37.71,40.660000000000004,36721.3,36721.3
82,2018,17_65,8221,4018,4203,8129,7951,31,23,49,0,75,0,175,7851,8039,771,757,6511,7642,1779,4179,1684,1578,6064,17,65,43.93333333333334,42.0,45.4,30885.333333333332,30885.333333333332
83,2018,17_67,18112,9008,9104,17739,17500,148,3,69,0,19,228,244,17314,17749,2077,1823,13849,17395,3942,9524,3929,2388,15007,17,67,46.142857142857146,44.65714285714285,47.97142857142857,28372.0,28372.0
84,2018,17_69,4009,1976,2033,3931,3793,112,11,1,0,14,45,65,3764,3882,636,443,2803,3584,751,1983,850,896,2688,17,69,44.95,45.45,43.75,22111.0,22111.0
