,Unnamed: 0,Year,NAME,TRACT,STATE,COUNTY,ACS_GEO_ID,ACS_N_TOTAL_POP,ACS_N_MALE,ACS_N_FEMALE,ACS_MED_AGE,ACS_MED_AGE_M,ACS_MED_AGE_F,ACS_N_RACE_TOTAL_POP,ACS_N_RACE_WHITE,ACS_N_RACE_BLACK,ACS_N_RACE_AMERIND,ACS_N_RACE_ASIAN,ACS_N_RACE_HAWPACISL,ACS_N_RACE_OTHER,ACS_N_RACE_TWOORMORE,ACS_N_ETHN_HISPLAT_Y,ACS_N_ETHN_HISPLAT_N,ACS_MED_INCOME,ACS_MED_INCOME_PAST_12MO,ACS_N_POVERTY_STAT,ACS_N_POVERTY_STAT_BELOW_100_PCT,ACS_N_POVERTY_STAT_100_TO_149_PCT,ACS_N_POVERTY_STAT_ABOVE_150_PCT,ACS_N_INSURED_NON_INST,ACS_N_INSURED_NON_INST_UNDER_19,ACS_N_INSURED_NON_INST_19_TO_64,ACS_N_INSURED_NON_INST_OVER_65,ACS_N_DISABIL_Y,ACS_N_DISABIL_N,STATECOUNTY,N_BLACK,PCT_BLACK,N_NOT_WHITE,PCT_NOT_WHITE,N_UNINSURED,PCT_UNINSURED,N_POVERTY_STAT,PCT_POVERTY_STAT,N_DISABIL_STAT,PCT_DISABIL_STAT,COUNTY_NAME,bucket,bucket_idx,midpoint
4013,4013,2018,"Census Tract 2157, St. Louis County, Missouri",215700,29,189,1400000US29189215700,5730,2680,3050,37.5,34,42,5618,1338,4132,50,78,0,20,46,88,1298,28851,28851,5664,901,305,4458,5228,1230,3043,955,697,4531,29189,4132,0.735493058,4280,0.761836953,502,0.087609075,901,0.159074859,697,0.133320581,St. Louis County,"(25000, 32000]",45,28500
3352,3352,2018,"Census Tract 1165, St. Louis city, Missouri",116500,29,510,1400000US29510116500,4433,2148,2285,31.6,31.9,31.2,4192,2006,1821,0,315,0,50,113,153,1883,28829,28829,4305,858,547,2900,3954,1007,2619,328,372,3582,29510,1821,0.434398855,2186,0.521469466,479,0.108053237,858,0.199303136,372,0.094081942,St. Louis City,"(25000, 32000]",8,28500
3656,3656,2018,"Census Tract 2149, St. Louis County, Missouri",214900,29,189,1400000US29189214900,6343,2990,3353,33.5,35.4,31.6,5978,3977,1427,38,189,0,347,277,1080,3489,28750,28750,6246,785,511,4950,5312,1538,3114,660,703,4609,29189,1427,0.238708598,2001,0.334727334,1031,0.162541384,785,0.125680435,703,0.132341867,St. Louis County,"(25000, 32000]",20,28500
3248,3248,2018,"Census Tract 1023, St. Louis city, Missouri",102300,29,510,1400000US29510102300,2126,986,1140,38.5,39.9,36.7,2037,1635,117,0,239,0,46,60,118,1570,28668,28668,2097,346,251,1500,1951,349,1308,294,293,1658,29510,117,0.057437408,402,0.197349043,175,0.082314205,346,0.164997616,293,0.150179395,St. Louis City,"(25000, 32000]",1,28500
3820,3820,2018,"Census Tract 2204.43, St. Louis County, Missouri",220443,29,189,1400000US29189220443,4252,2157,2095,43.9,39,51.2,4192,4016,91,23,62,0,0,43,70,3969,28548,28548,4107,383,265,3459,3798,701,2240,857,657,3141,29189,91,0.021708015,176,0.041984733,454,0.106773283,383,0.093255418,657,0.172985782,St. Louis County,"(25000, 32000]",33,28500
4004,4004,2018,"Census Tract 2111.02, St. Louis County, Missouri",211102,29,189,1400000US29189211102,5655,2295,3360,36.1,26.5,39.3,5294,1507,3265,0,23,0,499,348,549,1507,28463,28463,5406,819,286,4301,5294,1368,2951,975,757,4537,29189,3265,0.616735927,3787,0.715338119,361,0.063837312,819,0.151498335,757,0.142992066,St. Louis County,"(25000, 32000]",44,28500
3737,3737,2018,"Census Tract 2199, St. Louis County, Missouri",219900,29,189,1400000US29189219900,6038,3026,3012,39.3,34.5,42.8,5891,4829,145,108,465,18,326,105,151,4816,28352,28352,5996,360,338,5298,5452,1094,3446,912,882,4570,29189,145,0.024613818,1062,0.180274996,586,0.097052004,360,0.060040027,882,0.161775495,St. Louis County,"(25000, 32000]",23,28500
3884,3884,2018,"Census Tract 2134, St. Louis County, Missouri",213400,29,189,1400000US29189213400,6108,3167,2941,41.3,40.7,41.9,5981,3595,2268,0,38,0,80,65,380,3278,28286,28286,6046,677,626,4743,5181,1330,2961,890,877,4304,29189,2268,0.379200803,2386,0.398929945,927,0.151768173,677,0.111974859,877,0.169272341,St. Louis County,"(25000, 32000]",41,28500
4126,4126,2018,"Census Tract 2109.25, St. Louis County, Missouri",210925,29,189,1400000US29189210925,5525,2404,3121,32.8,32.6,33,5236,2483,2629,0,67,18,39,133,113,2433,28258,28258,5366,341,793,4232,4723,1207,3001,515,408,4315,29189,2629,0.50210084,2753,0.52578304,802,0.145158371,341,0.063548267,408,0.086385772,St. Louis County,"(25000, 32000]",52,28500
3744,3744,2018,"Census Tract 2131.01, St. Louis County, Missouri",213101,29,189,1400000US29189213101,4479,2040,2439,41.7,41.2,43.9,4376,2995,1142,0,125,0,114,103,581,2553,28017,28017,4183,646,476,3061,3638,955,1878,805,611,3027,29189,1142,0.260968921,1381,0.315585009,841,0.187765126,646,0.154434616,611,0.167949423,St. Louis County,"(25000, 32000]",28,28500
