,Year,NAME,TRACT,STATE,COUNTY,ACS_GEO_ID,ACS_N_TOTAL_POP,ACS_N_MALE,ACS_N_FEMALE,ACS_MED_AGE,ACS_MED_AGE_M,ACS_MED_AGE_F,ACS_N_RACE_TOTAL_POP,ACS_N_RACE_WHITE,ACS_N_RACE_BLACK,ACS_N_RACE_AMERIND,ACS_N_RACE_ASIAN,ACS_N_RACE_HAWPACISL,ACS_N_RACE_OTHER,ACS_N_RACE_TWOORMORE,ACS_N_ETHN_HISPLAT_Y,ACS_N_ETHN_HISPLAT_N,ACS_MED_INCOME,ACS_MED_INCOME_PAST_12MO,ACS_N_POVERTY_STAT,ACS_N_POVERTY_STAT_BELOW_100_PCT,ACS_N_POVERTY_STAT_100_TO_149_PCT,ACS_N_POVERTY_STAT_ABOVE_150_PCT,ACS_N_INSURED_NON_INST,ACS_N_INSURED_NON_INST_UNDER_19,ACS_N_INSURED_NON_INST_19_TO_64,ACS_N_INSURED_NON_INST_OVER_65,ACS_N_DISABIL_Y,ACS_N_DISABIL_N
2276,2018,"Census Tract 4025, Madison County, Illinois",402500,17,119,1400000US17119402500,1896,898,998,37.7,34.3,39.3,1798,1014,784,0,0,0,0,21,54,960,22359.0,22359.0,1819,481,229,1109,1826,550,1023,253,309,1517
2277,2018,"Census Tract 4026, Madison County, Illinois",402600,17,119,1400000US17119402600,2648,1323,1325,34.8,34.1,36.7,2497,2034,452,11,0,0,0,105,75,1959,20493.0,20493.0,2557,814,577,1166,2277,651,1400,226,393,1884
2278,2018,"Census Tract 4027.01, Madison County, Illinois",402701,17,119,1400000US17119402701,7171,3290,3881,45.5,43.5,50.0,6901,6175,691,0,27,0,8,164,66,6109,31802.0,31802.0,7065,1039,415,5611,6819,1359,3856,1604,1244,5575
2279,2018,"Census Tract 4027.22, Madison County, Illinois",402722,17,119,1400000US17119402722,2861,1349,1512,49.3,49.3,49.2,2826,2705,33,0,54,0,34,0,57,2682,42154.0,42154.0,2774,58,76,2640,2771,599,1504,668,271,2500
2280,2018,"Census Tract 4030.02, Madison County, Illinois",403002,17,119,1400000US17119403002,6817,3416,3401,38.9,38.3,39.7,6568,5905,434,48,181,0,0,169,177,5749,37802.0,37802.0,6737,463,388,5886,6566,1763,3813,990,668,5898
2281,2018,"Census Tract 4032, Madison County, Illinois",403200,17,119,1400000US17119403200,4522,1969,2553,37.8,38.4,35.7,4409,3738,499,29,38,0,105,49,125,3718,24646.0,24646.0,4458,702,451,3305,4241,1093,2573,575,505,3736
2282,2018,"Census Tract 4008.01, Madison County, Illinois",400801,17,119,1400000US17119400801,1864,872,992,47.6,45.4,49.4,1838,1753,45,0,16,0,24,21,89,1688,36071.0,36071.0,1859,205,136,1518,1828,366,1046,416,255,1573
2283,2018,"Census Tract 4033, Madison County, Illinois",403300,17,119,1400000US17119403300,2770,1279,1491,34.1,32.6,34.7,2658,2360,199,0,0,0,99,82,154,2305,22834.0,22834.0,2740,632,332,1776,2557,616,1610,331,320,2237
2284,2018,"Census Tract 4009.51, Madison County, Illinois",400951,17,119,1400000US17119400951,5005,2240,2765,49.9,41.9,52.5,4914,4828,86,0,0,0,0,91,117,4711,32271.0,32271.0,4903,427,434,4042,4720,998,2721,1001,999,3721
2285,2018,"Census Tract 4014, Madison County, Illinois",401400,17,119,1400000US17119401400,3276,1473,1803,44.0,40.7,45.4,3206,2771,409,0,0,0,26,46,59,2755,22711.0,22711.0,3103,746,182,2175,3000,644,1914,442,538,2462
